tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Tipo,Conflict
"Doria disse que SP não vai seguir o protocolo do ministério da saúde para receitar cloroquina no inicio dos sintomas de covid-19. O sujeito agora além de ditador, também é um genocida.","Tem que dar papo para as provocações do Doria, ele tem outros interesses diferente da população o foco é o usuário do Sistema  se quer tomar a cloroquina ou não se o médico prescreve ou não dependendo do caso.",1,0.4286496341228485,0.5713503360748291,Incerta,
"""Bolsonaristas criam 'corrente do bem' e se medicam com cloroquina, azitromicina e antipulgas"".  Antipulgas. Antipulgas. ANTIPULGAS.",Antipulgas... pessoal precavido e consciente de si mesmo... kkkk,2,0.5773033499717712,0.4226966500282287,Incerta,
Adivinha quem tá com o rab0 cheio de cachaça já na hora do almoço?  Quem é de direita acredita na cloroquina e quem é de esquerda na jararaca cretina.,Encheu o CÚ de cachaça e falou merda!!,2,0.5439039468765259,0.4560960233211517,Incerta,
...,"gente sério toma no cu né? ele é uma criança e não sabe o que é cloroquina, não sabe o quão pesado é o que ele ta falando, a merda dos pais ridicularizam a imagem do próprio filho com essa porra VEM AÍ MAIS UMA CRIANÇA PRA GENTE SALVA",2,0.4509358704090118,0.5490641593933105,Incerta,
"Esquerda grita: ""Cloroquina NÃO; tem que levar em consideração a ciência""  Ciência diz: HOMEM = XY MULHER = XX  Esquerda: ""Não é a ciência que define quem é homem ou mulher""  Difícil hein kkkk","Enquanto o presidente receita medicamento em exercício ilegal da profissão, uma microbiologista destrói defesa da cloroquina. Infelizmente não achei o nome dela. Segue o link do vídeo completo:",0,0.5892969369888306,0.4107030630111694,Incerta,
Adivinha quem tá com o rab0 cheio de cachaça já na hora do almoço?  Quem é de direita acredita na cloroquina e quem é de esquerda na jararaca cretina.,"""quem é da direita acredita na cloroquina"", ata",1,0.5898579955101013,0.4101419448852539,Incerta,
"Bolsonaro quer aplicar Cloroquina a qualquer custo. Porém, o paciente precisará assinar um termo de ciência que NÃO existem dados sobre a eficiência para Covid-19 e que está ciente que pode sofrer uma parada cardíaca. Você vira cobaia do Presidente e o isenta de responsabilidade.","Muita gente precisa ler o termo de responsabilidade. Lá diz q vc está ciente de que não há indícios de resultado positivo com o uso da cloroquina. Mas eu tô torcendo aqui, viu. VAI, CLOROQUINA!",1,0.1225578710436821,0.8774421215057373,Alta,
"Vi no Jornal da Globo uma descrição dos efeitos colaterais da Cloroquina e da Hidroxocloroquina.  A partira daí,  parece que é melhor dar um tiro na própria cabeça do que usar esses medicamentos. Não sei como o pessoal que usou para combater a malária sobreviveu.",Eu sei por que eles foram curados pelo protocolo Hidroxicloroquina + Azitromicina + Zinco! Eles não assistiam a Globo...,2,0.1933530867099762,0.8066469430923462,Alta,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",Algum médico ou instituição médica assinou isso?,2,0.1832902282476425,0.8167097568511963,Alta,
"- Ainda não existe comprovação científica, mas sendo monitorada e usada no Brasil e no mundo. Contudo, estamos em Guerra: “Pior do que ser derrotado é a vergonha de não ter lutado.”  - Deus abençoe o nosso Brasil.",pq ele escreve como se tivesse num dialogo,2,0.193725511431694,0.8062744736671448,Alta,
