tweet_1,tweet_2,Class,P(NoConflict),P(Conflict),Tipo,Conflict
"A maioria esmagadora dos brasileiros é contrária à demissão de Mandetta: 76,2% dos entrevistados discordam do afastamento do ministro da Saúde, segundo pesquisa realizada pelo Atlas Político. Vc concorda com o resultado da pesquisa?   via","Pesquisa de merda! Mandetta demorou a ser demitido - péssimo, politiqueiro e incompetente... só não vê quem não quer ou, quem assiste e acredita na globo!",1,0.5653731226921082,0.434626966714859,Incerta,
Bolsonaro demitiu Mandetta porque ele seguia as orientações da OMS e não negava a ciência. Que tipo de médico aceita assumir um ministério da saúde assim? Esse vídeo é uma prévia do que pode estar nos esperando num futuro próximo. Precisamos tirar Bolsonaro para salvar o país.,Não se enganem pelo tom: é o procedimento  Não há nada na fala que desqualifique o Teich   É o procedimento eo que reza a ética médica,2,0.5405274629592896,0.4594725966453552,Incerta,
"Você é bem inocente, né? Já ouviu falar de psicologia reversa? A esquerda defendeu o único ministro mais ou menos desse desgoverno para que o ciúmes e o ego do Bolsonaro fossem ativados, e com isso acertou na tática e colocou o Bolsonaro contra o Mandetta, jogada de mestres...","O Bolsonaro demitiu o Mandetta, vai entrar um ministro alinhadíssimo com o Bolsonaro, vai defender a volta do povo às ruas, os números da doença vão disparar, e adivinha quem vai colher os frutos de tudo isso? Acordou? O plano deu certo, vocês foram manipulados com sucesso! Kkkkk",1,0.4214032590389251,0.5785966515541077,Incerta,
"Bolsonaro diz que podem perguntar pq decidiu substituir Mandetta. Explica o presidente durante a posse do novo ministro da Saúde: diz que visão de Mandetta era da Saúde, da vida. A sua é, além da vida, a da economia, a do Paulo Guedes.",Ai como vocé é burro!,2,0.5123955011367798,0.4876044988632202,Incerta,
"De acordo com a nova Pesquisa do Atlas, Mandetta tem aprovação de quase 80% dos entrevistados. Diante desse número e se o presidente Lula não puder concorrer, vocês votariam em quem para presidente?",VAMOS FAZER ESSES IMUNDOS PASSAREM VERGONHA!!!!,2,0.4385287165641784,0.5614712834358215,Incerta,
Quem sabe com a saída do Mandetta os postos de saúde de Juazeiro do Norte reabram suas portas e a vacina apareça,"e pq vc não esta defendendo isolamento social? Pq o teu presidente não quer?Pq a culpa é só do Mandetta? O Presidente não tem culpa? Ele é o principal culpado de tudo, quando aumentar o número de casos e mortos, culpe o seu presidente tbm,pq vc terá que ser homem.",0,0.1207579225301742,0.8792421221733093,Alta,
"Bolsonaro segue na sua cruzada assassina contra o Brasil. Neste momento, numa coletiva sobre a demissão do Mandetta, o presidente volta a defender o afrouxamento do isolamento social. #BolsonaroVirus","Mandetta, não apoiava a verticalização do isolamento que é o correto e deve ser seguido. Hoje ele sai pedindo pra apoiarem o SUS, mas não vamos nos esquecer que o próprio tencionava a privatização e cessou o programa mais medicos. Isso é atuação direitista.",0,0.1429909318685531,0.8570090532302856,Alta,
"Vale lembrar:  Bolsonaro demitiu Mandetta, mas era tudo intriga da imprensa, querendo jogar um contra o outro, claro.  Continue se informando pela claque.  Os financiadores agradecem.","""Luiz Henrique Mandetta como ministro da Saúde é um erro. Ponto."" O Antagonista, 13.11.2018 18:05   #ForaMaia o que importa agora.",1,0.9908089637756348,0.0091910539194941,Random,
mandetta cumplice de maia em seu projeto de poder a qualquer custo ?#ForaMaia,"Infelizmente apertem o cintos e rezem, orem cada um dentro da sua fé, pois retiraram um Ministro que todos criticavam, por ser um médico Ortopedista, (o Mandetta) porem seguia a Ciencia e sabia que salvar vidas é o mais importante. #fora_Bolsonaro",0,0.9783473014831544,0.0216526966542005,Random,
"O elogio emocionado de Fernando Haddad a Henrique Mandetta foi a coisa mais bonita da novela viral desde o enlace entre João Dória e Lula da Silva. Se você não entendeu agora o enredo, não vai entender nunca mais.","Ô LOCO MÊU!!! Receber elogio do “adad”, cheira mal, é ofensivoà MORAL E OS BONS COSTUMES....",2,0.5289720892906189,0.4710278511047363,Incerta,
